FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
HG00640	HG00640	-0.03153283	-0.1252052	0.05080201	-0.03905676	0.06373896	-0.002927778	0.009067087	-0.003369762	-0.002993568	0.01008851	-0.01319634	-0.003208406	-0.008753859	-0.09703829	-0.01687513	0.03583378	0.008189001	0.003245473	0.02797209	-0.0004298123	0.002659594	0.01667511	0.02742099	-0.03048351	0.0007898167	0.01058108	-0.001527501	-0.01750627	-0.01924213	-0.0182853
HG00641	HG00641	-0.0168188	-0.1008211	0.05500614	-0.06901633	0.06513603	0.009161027	-0.001257084	-0.006824014	0.008245498	0.006493288	-0.01219673	-0.004982688	0.001433319	-0.1280154	-0.006712583	0.06178293	0.007177625	0.009199794	0.001932729	0.003684615	-0.0109171	0.01873318	-0.0003061061	-0.03101378	0.006098979	-0.004543638	-0.01793673	-0.01700999	-0.0009340891	-0.01482117
HG00731	HG00731	-0.055284	-0.1537963	0.06012946	-0.01840385	0.07527128	-0.001020385	0.004488565	-0.004478494	-0.0007725033	0.00579699	-0.01739212	0.01298339	0.009291463	-0.07532178	-0.001867636	0.02749537	-0.005010916	0.01955897	-0.000865071	-0.001843769	-0.01068943	-0.004628552	0.003277511	0.009348409	0.01904478	0.005605833	-0.001110354	-0.01604766	0.01846299	0.008654257
HG00732	HG00732	-0.03552706	-0.1214722	0.05937527	-0.04261246	0.07311534	0.01347277	0.001164539	-0.01187318	-0.01724966	0.01039906	-0.002530809	-0.00304095	0.0187398	-0.08438125	0.002484653	0.04082304	0.02184881	0.008721326	-0.01182558	0.01123362	0.0003027576	0.02217959	0.02342817	-0.009064198	-0.005289449	-0.002121704	-0.0005836023	-0.001189603	0.00816118	0.02100975
HG00734	HG00734	-0.009146723	-0.0886564	0.05972125	-0.09515028	0.04572306	0.0003486844	-0.001327206	-0.01845748	0.01323136	-0.003646995	-0.0147192	-0.008927637	0.007526831	-0.121715	0.0006966582	0.05928247	0.01493572	0.010041	0.03411112	0.02155089	-0.05297966	-0.007021035	0.0003310047	-0.01695904	-0.006052404	-0.000488264	0.005547349	-0.01228357	0.02472554	-0.02504757
HG00736	HG00736	-0.03142193	-0.1355608	0.06029842	-0.03188645	0.05901279	-0.000243191	-0.01329686	-0.001761836	-0.007894736	-0.004875436	-0.01732622	-0.005560905	0.009533264	-0.08949758	0.006504975	0.04625413	-0.004255175	-0.02011639	0.01637571	-0.001147242	0.007121537	0.01264843	-0.002079317	-0.005656981	0.02235411	0.02415011	-0.01115709	0.02108098	-0.0266548	-0.0001163348
HG00737	HG00737	-0.01750359	-0.133009	0.0602163	-0.03191032	0.05817087	0.01781232	0.002514133	-0.008450331	0.009099052	0.01192366	-0.006933136	0.003232162	-0.008230268	-0.06674459	0.004835272	0.02925655	-0.00027296	0.01266088	0.01100102	-0.00138861	-0.003639359	0.01729619	-0.0179533	-0.00445728	-0.004567342	0.002366182	0.01443385	0.001716222	0.01284654	0.02747656
HG00739	HG00739	-0.03151126	-0.1548033	0.05190817	-0.0007190082	0.02740129	-0.001519289	0.004390872	-0.002417144	-0.006080783	0.0106425	-0.0007420889	0.007328526	-0.02307189	-0.03060803	-0.001249645	0.0227838	-0.0117198	0.0111116	0.02734526	-0.007640085	-0.003602881	-0.03316074	0.00437832	0.01656035	-0.02009849	0.003573097	0.001352391	-0.00986789	-0.005389544	0.003821178
HG00740	HG00740	0.009799898	-0.1044302	0.06055378	-0.06441741	0.06251978	0.002490454	0.01789492	0.009512078	-0.0115703	0.00579893	-0.02019095	0.01058544	0.006902687	-0.1061535	-0.006276232	0.04049916	-0.02061945	-0.004326391	-0.01982673	0.01845162	-0.02037805	0.01578271	-0.01512064	-0.02313363	-0.005160981	0.03317337	-0.002043706	-0.003912972	-0.004304571	0.0457182
HG00742	HG00742	-0.03482994	-0.1600135	0.05655997	-0.01201876	0.07478166	0.02025998	-0.0004551582	-0.006817937	0.007783866	-0.008607368	-0.01987034	0.002570506	0.002232976	-0.07159615	-0.01265029	0.03256998	0.02532882	-0.009432498	-0.02247912	0.007864999	-0.03254395	0.02064286	-0.006002761	-0.002948116	0.01050445	-0.004158488	-0.005549926	0.01146621	0.01359883	-0.00450085
HG00743	HG00743	-0.01770145	-0.07798477	0.0566119	-0.1045282	0.05405238	0.001869065	-0.01386828	-0.01571397	0.005890508	0.006088608	-0.02844552	-0.0009793434	0.01930664	-0.1248061	0.01131698	0.04779628	-0.002054895	-0.01307188	0.001651682	-0.02082226	-0.003885582	-0.03055633	0.0002516774	-0.01677315	-0.02301813	0.02433473	-0.03377183	-0.009706231	-0.003468707	-0.02646366
HG01047	HG01047	-0.01394456	-0.1302807	0.05677339	-0.03184725	0.05127352	0.00208356	0.001883803	0.001212415	-0.006065857	0.02130257	-0.001185004	-0.0001868603	0.002536412	-0.04801192	0.001037114	0.01971735	0.003923433	0.0005820881	-0.004789264	-0.0135855	0.01901879	-0.00549932	0.01688393	-0.0003035222	-0.009977708	-0.002438244	-0.00621891	-0.004459094	0.003590822	-0.01987272
HG01048	HG01048	0.007645338	-0.1057471	0.05261929	-0.05935611	0.05371912	0.005231466	0.01085273	0.007434661	-0.01617631	0.01686095	-0.0102255	-0.003578524	0.02027063	-0.1157236	-0.006192628	0.02545977	-0.00431935	0.02438893	0.02434798	0.01219036	0.02506991	0.01024376	0.02437861	-0.002095435	-0.01661363	0.009192118	-0.01771185	-0.01584836	-0.007694201	0.01492057
HG01049	HG01049	0.08631087	-0.07648405	0.05340492	-0.05683364	0.05794549	-0.00328309	0.01744626	0.01511743	0.01678642	0.02036502	0.01032918	0.009946404	0.01175674	-0.08557713	0.0275969	0.04259116	-0.001993282	-0.02592675	0.002953242	-0.04360954	0.0391117	-0.005242781	-0.008396128	0.01188086	0.003911628	0.01737886	-0.01373569	-0.02641168	-0.01297229	-0.03075575
HG01051	HG01051	0.07457442	-0.05469359	0.04877701	-0.09495963	0.04814384	0.003806647	-0.0009938903	0.003028106	-0.02165807	0.004394897	-0.003996278	0.003412988	-0.006481634	-0.08777989	-0.0001263036	0.061224	-0.01695191	-0.01532925	-0.01669549	0.01493408	0.009017453	0.05163431	-0.008992388	0.04634193	-0.03319831	0.009641239	0.01511021	0.00736926	0.03111617	-0.0007537761
HG01052	HG01052	0.08056408	-0.0565365	0.05128971	-0.08552109	0.04773728	-0.01012275	0.005521754	-0.0154912	0.007439779	0.001332276	-0.008587894	0.01981994	0.008838306	-0.09328912	-0.01905327	0.04675977	0.0150309	0.009916532	0.01333196	0.01376717	-0.04236765	0.0274494	0.01608306	0.006200967	-0.01697205	-0.02107307	-0.001828749	-0.03335176	-0.02768347	0.04145384
HG01054	HG01054	-0.03391755	-0.1112389	0.06202863	-0.07152956	0.06357273	0.01388053	-0.01526513	-0.01284853	-0.0002989406	0.01779876	-0.0223342	-0.002068529	0.01621068	-0.1358977	-0.02774952	0.03539084	0.01163763	-0.01214799	0.003072373	0.005505708	-0.02253335	0.009914302	0.008174458	0.0007956659	-0.0001740932	-0.00667262	-0.02221421	0.009535946	-0.008902392	0.009521322
HG01055	HG01055	0.01097178	-0.1078576	0.05323496	-0.03347703	0.06928543	0.006256767	-0.002215836	-0.01435336	0.01054704	0.0003823781	-0.01245798	0.006761398	0.008928837	-0.1153537	-0.01512144	0.03723774	-0.002759241	-0.02209491	0.01735519	-0.01612519	-0.03205244	-0.002260491	0.01746896	-0.02573014	-0.008315055	0.02047776	0.00151819	-0.007850586	0.01654936	-0.007647684
HG01058	HG01058	0.007575157	-0.09286749	0.05598659	-0.06402328	0.05677061	0.01311098	-0.006367953	-0.00655671	0.01167779	0.006650411	-0.00107257	0.01421137	0.001631289	-0.1005295	-0.01948967	0.04445899	0.005626999	-0.01093688	0.01084967	-0.00632731	-0.03757337	0.01170847	-0.002186204	-0.0149984	-0.01524713	-0.005313636	0.008672447	0.003058734	0.009205332	-0.0248584
HG01060	HG01060	-0.01092199	-0.1184381	0.06086189	-0.03435472	0.06132241	0.006142571	0.007187344	-0.006309005	-0.003003229	0.01709772	-0.002911393	0.009944511	0.0209417	-0.08746169	-0.01251031	0.04861182	0.004362168	0.00762197	-0.002168702	0.0190382	0.005923259	-0.004046447	0.007616336	-0.02354538	-0.008896922	-0.003585346	-0.01319069	0.01235348	-0.02158792	0.02786257
