IID,sire,hare
HG02144,AFR,AFR
HG02215,EUR,EUR
HG02255,AFR,AFR
HG02256,AFR,AFR
HG02281,AFR,AFR
HG02282,AFR,AFR
HG02283,AFR,AFR
HG02284,AFR,AFR
HG02307,AFR,AFR
HG02308,AFR,AFR
HG02309,NA,AFR
HG02314,AFR,AFR
HG02315,AFR,AFR
HG02317,AFR,AFR
HG02318,AFR,AFR
HG02322,AFR,AFR
HG02323,NA,AFR
HG02325,AFR,AFR
HG02330,AFR,AFR
HG02332,AFR,AFR
HG02334,AFR,AFR
HG02337,AFR,AFR
HG02339,AFR,AFR
HG02343,AFR,AFR
HG02419,AFR,AFR
HG02420,AFR,AFR
HG02427,AFR,AFR
HG02429,AFR,AFR
HG02433,AFR,AFR
HG02439,AFR,AFR
HG02442,AFR,AFR
HG02445,AFR,AFR
HG02449,AFR,AFR
HG02450,AFR,AFR
HG02455,AFR,AFR
HG02470,AFR,AFR
HG02471,AFR,AFR
HG02476,AFR,AFR
HG02477,AFR,AFR
HG02479,AFR,AFR
HG02481,AFR,AFR
HG02484,AFR,AFR
HG02485,NA,AFR
HG02489,AFR,AFR
HG02490,ASN,ASN
HG02491,ASN,ASN
HG02493,ASN,ASN
HG02494,ASN,ASN
HG02496,AFR,AFR
HG02497,NA,AFR
HG02501,AFR,AFR
HG02502,AFR,AFR
HG02505,AFR,AFR
HG02508,AFR,AFR
HG02511,AFR,AFR
HG02536,AFR,AFR
HG02537,NA,AFR
HG02541,NA,AFR
HG02545,AFR,AFR
HG02546,AFR,AFR
HG02549,AFR,AFR
HG02554,AFR,AFR
HG02555,AFR,AFR
HG02557,NA,AFR
HG02558,NA,AFR
HG02577,AFR,AFR
HG02580,AFR,AFR
HG02597,ASN,ASN
HG02600,ASN,ASN
HG02601,ASN,ASN
HG02603,ASN,ASN
HG02604,ASN,ASN
HG02648,ASN,ASN
HG02649,ASN,ASN
HG02651,ASN,ASN
HG02652,ASN,ASN
HG02654,ASN,ASN
HG02655,ASN,ASN
HG02657,ASN,ASN
HG02658,ASN,ASN
HG02660,ASN,ASN
HG02661,ASN,ASN
HG02681,ASN,ASN
HG02682,ASN,ASN
HG02684,ASN,ASN
HG02685,NA,ASN
HG02687,NA,ASN
HG02688,ASN,ASN
HG02690,ASN,ASN
HG02691,ASN,ASN
HG02694,ASN,ASN
HG02696,ASN,ASN
HG02697,ASN,ASN
HG02699,ASN,ASN
HG02700,ASN,ASN
HG02724,ASN,ASN
HG02725,ASN,ASN
HG02727,ASN,ASN
HG02728,NA,ASN
HG02731,ASN,ASN
HG02733,ASN,ASN
HG02734,ASN,ASN
HG02736,ASN,ASN
HG02737,ASN,ASN
HG02774,ASN,ASN
HG02775,ASN,ASN
HG02778,ASN,ASN
HG02780,ASN,ASN
HG02783,ASN,ASN
HG02784,ASN,ASN
HG02786,ASN,ASN
HG02787,ASN,ASN
HG02789,ASN,ASN
HG02790,ASN,ASN
HG02792,ASN,ASN
HG02793,ASN,ASN
HG03015,ASN,ASN
HG03016,ASN,ASN
HG03018,ASN,ASN
HG03019,ASN,ASN
HG03021,NA,ASN
HG03022,ASN,ASN
HG03228,ASN,ASN
HG03229,ASN,ASN
HG03234,ASN,ASN
HG03235,ASN,ASN
HG03237,ASN,ASN
HG03238,ASN,ASN
HG03488,ASN,ASN
HG03490,ASN,ASN
HG03491,ASN,ASN
HG03619,ASN,ASN
HG03624,ASN,ASN
HG03625,ASN,ASN
HG03629,NA,ASN
HG03631,ASN,ASN
HG03634,ASN,ASN
HG03636,ASN,ASN
HG03640,ASN,ASN
HG03649,ASN,ASN
HG03652,ASN,ASN
HG03653,ASN,ASN
HG03660,ASN,ASN
HG03663,ASN,ASN
HG03667,ASN,ASN
HG03668,ASN,ASN
HG03702,NA,ASN
HG03703,NA,ASN
HG03705,ASN,ASN
HG03706,ASN,ASN
HG03708,ASN,ASN
HG03709,ASN,ASN
HG03762,ASN,ASN
HG03765,NA,ASN
HG03767,NA,ASN
NA06984,EUR,EUR
NA06985,EUR,EUR
NA06986,EUR,EUR
NA06989,EUR,EUR
NA06994,EUR,EUR
NA07000,EUR,EUR
NA07037,EUR,EUR
NA07048,EUR,EUR
NA07051,EUR,EUR
NA07056,EUR,EUR
NA07347,EUR,EUR
NA07357,EUR,EUR
NA10847,EUR,EUR
NA10851,EUR,EUR
NA11829,EUR,EUR
NA11830,EUR,EUR
NA11831,EUR,EUR
NA11832,EUR,EUR
NA11840,EUR,EUR
NA11843,EUR,EUR
NA11881,EUR,EUR
NA11892,EUR,EUR
NA11893,EUR,EUR
NA11894,EUR,EUR
NA11918,EUR,EUR
NA11919,EUR,EUR
NA11920,EUR,EUR
NA11930,EUR,EUR
NA11931,EUR,EUR
NA11932,EUR,EUR
NA11933,EUR,EUR
NA11992,EUR,EUR
NA11994,EUR,EUR
NA11995,EUR,EUR
NA12003,EUR,EUR
NA12004,EUR,EUR
NA12005,EUR,EUR
NA12006,EUR,EUR
NA12043,EUR,EUR
NA12044,EUR,EUR
NA12045,EUR,EUR
NA12046,EUR,EUR
NA12058,EUR,EUR
NA12144,EUR,EUR
NA12154,EUR,EUR
NA12155,EUR,EUR
NA12156,EUR,EUR
NA12234,EUR,EUR
NA12249,EUR,EUR
NA12272,EUR,EUR
NA12273,EUR,EUR
NA12275,EUR,EUR
NA12282,EUR,EUR
NA12283,EUR,EUR
NA12286,EUR,EUR
NA12287,EUR,EUR
NA12340,EUR,EUR
NA12341,EUR,EUR
NA12342,EUR,EUR
NA12347,NA,EUR
NA12348,EUR,EUR
NA12383,EUR,EUR
NA12399,EUR,EUR
NA12400,EUR,EUR
NA12413,EUR,EUR
NA12414,EUR,EUR
NA12489,EUR,EUR
NA12546,NA,EUR
NA12716,EUR,EUR
NA12717,EUR,EUR
NA12718,EUR,EUR
NA12748,EUR,EUR
NA12749,EUR,EUR
NA12750,EUR,EUR
NA12751,EUR,EUR
NA12760,EUR,EUR
NA12761,NA,EUR
NA12762,EUR,EUR
NA12763,EUR,EUR
NA12775,EUR,EUR
NA12776,EUR,EUR
NA12777,EUR,EUR
NA12778,EUR,EUR
NA12812,EUR,EUR
NA12813,NA,EUR
NA12814,NA,EUR
